,x,y,sigma,num_iteration,topographic_error,quantization_error,elapsed_seconds,seconds_per_iteration
527,7,8,1.0,50000,0.5449691991786447,118.1006873191382,348.25400356575847,0.006965080071315169
528,6,10,1.0,10000,0.545242984257358,117.37295753721921,83.97612011712044,0.008397612011712045
529,8,7,1.0,25000,0.5453798767967146,117.7261869055261,184.0630925297737,0.007362523701190948
530,4,3,0.1,25000,0.5474332648870637,126.05851413855727,33.028662600554526,0.001321146504022181
531,5,6,0.75,50000,0.5483915126625599,121.54317399924639,129.8872615871951,0.002597745231743902
532,5,4,0.75,50000,0.5483915126625599,124.5527953026617,78.85383534803987,0.0015770767069607974
533,9,4,0.75,10000,0.5486652977412732,120.76024846484422,44.331203172914684,0.004433120317291469
534,7,10,1.0,10000,0.5496235455167693,116.57201085969407,92.80915901158005,0.009280915901158005
535,7,8,1.0,10000,0.550444900752909,117.64801873432526,75.44733596593142,0.007544733596593142
536,6,8,1.0,10000,0.5509924709103354,118.77685654165356,65.28977677971125,0.006528977677971125
537,7,3,0.5,25000,0.551129363449692,123.63034386112008,46.88767889793962,0.0018755071559175848
538,6,3,0.75,50000,0.5512662559890485,123.92588763266069,84.29325644765049,0.0016858651289530099
539,3,9,0.5,25000,0.5516769336071184,122.09085820943496,65.33102303277701,0.0026132409213110806
540,8,10,1.0,10000,0.554277891854894,116.2206576052481,103.21214302629232,0.010321214302629233
541,3,5,0.5,100000,0.5545516769336071,125.50146290381969,113.36101498734206,0.0011336101498734205
542,5,10,1.0,50000,0.5555099247091033,118.47332556063658,280.8786160312593,0.005617572320625186
543,4,8,0.75,25000,0.5559206023271732,121.01364642951432,77.64273884799331,0.0031057095539197325
544,10,6,1.0,100000,0.5566050650239562,117.65378214439102,775.7040088260546,0.007757040088260546
545,8,5,1.0,50000,0.5571526351813826,119.8020502255028,241.5293772034347,0.0048305875440686945
546,7,5,1.0,50000,0.5571526351813826,120.22094084821188,161.68699127528816,0.0032337398255057634
547,10,8,1.0,50000,0.5586584531143053,116.18965304905613,515.2970611611381,0.010305941223222762
548,8,3,0.75,50000,0.5589322381930185,122.35588753281989,93.41411338653415,0.001868282267730683
549,6,6,0.75,10000,0.5613963039014374,120.56812303597461,42.309462196193635,0.004230946219619364
550,10,9,1.0,10000,0.5619438740588638,115.45392392817416,220.8956272257492,0.02208956272257492
551,6,4,0.5,10000,0.562217659137577,122.99221307643441,27.292903943918645,0.0027292903943918648
552,9,4,1.0,50000,0.5623545516769336,120.37388222081118,169.51398084498942,0.0033902796168997886
553,10,3,1.0,25000,0.5626283367556468,120.86025784269415,77.89615548588336,0.0031158462194353343
554,7,3,0.75,25000,0.5627652292950034,123.41879356132527,48.11964341532439,0.0019247857366129755
555,7,7,1.0,25000,0.5650924024640657,118.43535848956655,152.8963090982288,0.006115852363929152
556,9,5,1.0,100000,0.5650924024640657,119.46008925449905,531.0793998874724,0.005310793998874724
